UserName,Score,Komentar,Sentimen
Afiff ,1,Hmmm yang baca anak kadal,Negative
IKAPRANESIA CHANNEL,5,Aplikasi yang bagus untuk memajang karya gambar digital ¤,Positive
Ismet Firmansyah,1,Ngk bisa di buka,Negative
Richi Ndolu,5,good,Positive
Riska Adawiyah,1,Sengaja saya instal app ini agar kalian pada tau semua..Kalian sdh dibodohi oleh app iniknp sy bilang begitu??Karena orang + suka membully warganya sendiri untuk app ini.Berita viral itu tidak benar dan tidak ada bukti..Mereka hanya agar banyak yg app ini bnyk yg instal..˜‚kalian telah dibodohi,Negative
Yogga R,3,Jual Vidio goyang pargoy laku gag ya,Neutral
Sabar Man,5,Sangat bagus,Positive
Official Wawan Sky,5,NFT sky˜,Positive
evan syahputra,5,awesome ways to MMO ‘‘,Positive
Dodi Rosmayadi,5,amazing,Positive
Musicpediahits,1,Payah error terus.. ga bisa d buka ga bisa create dan ga bisa connect wallet,Negative
Danny Kun,1,Bad,Negative
MATA PANCING PATI,5,belajar jualan karya seni digital,Positive
amin as,1,Pas di buka apk ko langsung error padahal jaringan bagus,Negative
Hezil ,1,Error,Negative
Rendi Suy,5,Oke,Positive
Erix Hermawan,5,sangat bagus,Positive
robert Parkinson,5,Good,Positive
Ahmad Ridwan,5,mudah-mudahan bisa seperti Gozali,Positive
R G,5,good,Positive
cahyadi coki,5,Good,Positive
Chaerul Ilham,5,Hadeh banyak orang latah,Positive
Wawan Idol,5,coba,Positive
F N,5,semua fitur bisa dipakai.mantap,Positive
iffi iffi,1,Tejo,Negative
Muhadi Hadi,5,Sangat keren dan meberikan usaha buat yg mau terima kasih open sea....selama ini membantu....semoga jaya selalu dan terus berkarya di bidang seni dan musik,Positive
Ras Bebas,5,Bismillah komisaris,Positive
Asyer Manik,5,GBU,Positive
Cebong Kadrun Pinki Cebong Kadrun Pinki,5,Mantap‘‘‘‘‘‘,Positive
Cranberries Kopi,1,Ini kenapa error ya,Negative
Irwan Ray,3,Bagus untuk jual beli,Neutral
Riyandi soenarjo,3,Coba dulubgs kasih,Neutral
Rakost' Entertainment,5,Top,Positive
Dix Gamming,4,bagus,Positive
gibran abdubaasith,4,Nyoba dulu,Positive
Demian selamat,4,Ghozali...beri aku uang˜†˜†˜†˜†˜†,Positive
Ashabul Coffee,5,ok,Positive
putra quiteer,5,Siapa yang kesini Karna gozali,Positive
Ajlastrian Putra,5,Semoga karyaku dapat mendunia,Positive
R chanel,1,Ga jelas bnget di instal muter trus pdhl wifi kenceng,Negative
La Capra,5,good,Positive
kadita Up Gaming,1,gooluck,Negative
Ezza,3,gw download gara ghozali  kyk nya ini emg S marketing biar bnyak yg download ini aplikasi ˜‚˜‚˜‚˜‚˜… sdh download gw uninstal lagi ˜…˜…˜…,Neutral
Rizky Harun,1,maaf ya aku belum dpt manfaat nya ™ insyaallah nnti pasti aku udh lagi klw sudah dpt manfaat nya ™˜Š,Negative
Tyo Sulis,5,ok,Positive
Gusti Fitri,1,Tidak bisa upload foto,Negative
Darlius Roslan Lomah,5,Bagus.,Positive
MILTON INI,5,I Got my first Ethereum here ˜‘,Positive
Budi Setiawan,1,Eror gak bisa login..dan gak bisa daftar,Negative
Pes Wil,1,Ternyata isinya orang gabut. Yg ngasih duit siapa yg beli siapa gk ada yg jelas kesehatannya.wkwkwkkw,Negative
brandy duasatu,3,Coba dulu,Neutral
Zettira avatar,1,baru belajar ... coba dulu  kalau bagus tambah lg bintang nya,Negative
arsyad asfah,5,oke,Positive
Rezki Nada,5,aplikasi sangat menyenangkan,Positive
Key Chanel,5,Coba dulu,Positive
D'Liza Channel,1,nyoba dulu siapa tau jdi Ghozali ke ˜†˜†,Negative
Ade Muhtarudin,5,Teu ngarti cara makena,Positive
Priyatins Pria,4,Mencoba tapi jangan sampai tercobakan.,Positive
Khoirun Najib,5,good,Positive
iman cenel,5,good job apliksi NFT,Positive
berita Bagus,5,semoga semakin berkembang,Positive
Ridwan Ali Rahman,5,ok,Positive
bayu tandayu,5,good job,Positive
Ahmad Al Alhambsy,3,saya baru pakai dan Alhamdulillah lumayan mudah memakainya terimakasih developer opensea,Neutral
Ario Rantau,5,make money,Positive
mela sallam,4,Ghozali selamat kamu membantu mengiklankan aplikasi ini ke orang yg berharap kaya kamu nantinya hahahahaa,Positive
adinata nat,4,Kenapa setelah masukin email tidak bisa verify,Positive
PUYU PUYU,5,kita mulai dari  ya tmn,Positive
Afan Serda,5,terus berenangterus berenang,Positive
Iqbal Batu bara,3,Coba dulu kalo bagus tak buat full bintang,Neutral
ãƒªãƒ¤ãƒ³ã‚µãƒ—ãƒˆãƒ©,4,Gw kesini karna Ghozali ˜˜˜˜˜™™,Positive
Muhammad Rafi,4,The flatness of the face is like a classic era mask that is very stunning with its own characteristics,Positive
Memet Ahmad,5,Good thanks min,Positive
Endang Rufatil,5,ok,Positive
Fey_ Channel,5,Saya mau coba karena saya baru gabung˜,Positive
Bocah Desa,3,Cara Daftr dan cara main nya gimana,Neutral
YUDI RISKI,2,Siapa tau sprti ghozala ghozali,Negative
irsya anugrah / irwan sofiyan,2,Alhamdulilah lakuuu  jt makasi ya Allah,Negative
SECURITY JHL SOLITAIRE HOTEL INDONESIA Agus ruslan,5,nice and verry good app.. very recommended ..,Positive
adamz Gallery,1,Cara upload fotonya gimana?????,Negative
Roti Bakar,3,belom paham,Neutral
WONG TIMUR TV,3,Kalo bagus dan foto selfie saya terjual mahal di sini saya kasih  bintang,Neutral
Dedi Utomo,5,manfaat mantap,Positive
RIDWAN RIDWAN,5,mantap,Positive
Saepul Games,5,Aplikasinya bagus,Positive
Ridwan Ngemil,5,good,Positive
Lucky Hobbyer,1,ERROR ...,Negative
Ahmad Jazuli,5,sangat bagus sekali,Positive
Bang Mus,5,keren,Positive
roni trip,3,belum laku nft sayasayangnya,Neutral
Kalana Styles,3,Kenapa setiap saya membuka opensea.io di browser selalu blank? sedangkan saat saya ingin menjual karya tidak bisa melalui aplikasi.,Neutral
Rozie Larosa,1,Gue cuba dulu ya bosssntar klo betulÂ² best ane bagi lagi bintang kejora ok hihihihi,Negative
BUKAN HOROR BIASA,5,extraordinary,Positive
Elma Lian,1,Yg ksini ragara Ghozali kita satu server˜Œ  btw gk bisa download knp woy?˜­,Negative
URC Ironhead,5,Joss lah..,Positive
AKMAL FUADI,5,Awalya ga nyangka karna karya ku berhasil terjual padahal cuma iseng pas  karya foto ku terjual melebihi gaji UMR  UMK pemerintah saat aku bekerja sebagai karyawan di sebuah perusahaan mantap si worth banget apalagi khusus buat anak muda yang ingin berkarya tanpa batas.,Positive
Suryadi Aea,3,Coba dlu klau bgus Bru tambah bntang,Neutral
channel phone,5,bagus,Positive
Aldy Aslan,5,download karena Liat berita nya Ghozali Ghozalu wkwkw,Positive
Maska Kow,5,Saya rencananya jual foto,Positive
Marcell Dinendra Putra,3,performa aplikasi kurang baik dan masih banyak bug,Neutral
Roswita Sri Rahayu,5,Kemari karena ghonzali yg viral jual foro selfinya—¿,Positive
Rudhy Mr,1,Saya habis donload g bisa ngapain di dalam aplikasi  ribet auto hapus kembali,Negative
paula kitri,5,the best ˜˜,Positive
Liza irmanofita sari,1,cara Makai aplikasi nya gimana ya?? cara daftar akun. kok ngk bisa..,Negative
ded idola channel,5,Sangat berarti untuk saya pribadi dari yg biasa jadi luar biasa,Positive
Jeri S,5,Sukses slalu......,Positive
Madiun Bojonegoro,3,Semoga bs membawa kesuksesannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,Neutral
Ridwan Dwi,5,ggsuper,Positive
Christian Abram,3,Yg kesini gara Gozali ¤£¤£¤£,Neutral
Sul Fikar,1,Ga bisa ke buka aplikasinya,Negative
Aris Pradana Syaputra,3,Ajg gara godzila pada kesini  kalo sy dpt M bintang sy tambah ,Neutral
MY HOME,5,Bagus untuk orang yg punya kreatifitas,Positive
Chairul Maulana,3,Ini gimana cara create nft ganti nama dan profil nya ?,Neutral
Syaiful Arifin,5,good luck,Positive
Joni ,5,ok,Positive
vandka tech,1,Cant connect wallet always get am error oops an error occured,Negative
AJP,5,Bissmilah  milyar  karya,Positive
Ayam Gosu,5,GaraÂ² ghozali semoga ajaa foto ayam bakarku laku juga,Positive
widia nartomo,5,oke,Positive
iman honin,5,Bagus... Tapi belom paham pengaplikasiannya... Wkwkkw,Positive
Eman Sulaeman,5,the best,Positive
treder,5,bgus,Positive
BANG TOM-TOM,5,Gara ghozali saya download haha,Positive
Ika Rusadi,2,Harus Upload lewat Pc percuma ada versi Mobile ga guna apknya,Negative
meky jeksen,1,semogah berhasil saya kasih bintang full,Negative
Darno Momon,1,Cara kerja apk nya macam mana ini,Negative
Aripul Mahfudz,4,Joss gandos,Positive
AGONG DJ EmING,4,bismillah aja dlu,Positive
Ulfa Asih,5,Semoga membantu¥°karna viral kuy penasaran kesini ˜…,Positive
ak channel,3,Semoga jd penghasiln dari sini nnti di tmbahin ,Neutral
JZBaby,5,keren,Positive
Anak Agung Artha yoga,5,wadah dalam berkarya,Positive
Yoghaa official,5,Investasi mantsp,Positive
Handryani Januarita,3,Coba dulu. Siapantau kaya ghozaliii,Neutral
Cokelat Hitam,5,Saya mampir kesini gara gara ghozali everyday yg sedang viral ngab —¿—¿,Positive
didit_ tewe,5,Amazing,Positive
Riyan,5,muda mudahan bisa merubah hidup,Positive
Robin Channel ,4,AJARIN JUNIOR DONG¤  moga berkah semua,Positive
Soeling Sakti,3,Kesini gara Ghozali,Neutral
Romero Syawal Dhiputra,4,Kesini gara-gara Ghozali everyday ˜’,Positive
Maimun Efendy,5,Kita coba dulu ya Mana tau mantap,Positive
Nuril Huda,5,Download aplikasi ini gara yg lagi viral,Positive
Rully Amirul Destianto,5,Nice app,Positive
SNB,5,Kesini garaÂ² Ghozali,Positive
Abdul Hajar Limi,5,Rumit dan susah cara pakainya.....,Positive
Herawati Handayani,5,Bagus,Positive
Bagus Cahyono,5,josd,Positive
Tegar Ezra,1,Kok saya selalu mengalami kendala dalam login ˜Œ,Negative
Dean syah,1,I can't add username and change profile photo i need your help.,Negative
Juwen Panghuseng,5,Semoga kaya dengan apk ini ¤£,Positive
Muhammad Ilham,5,Semoga nft sy laku. Aamiin,Positive
prapto soehartono,5,Belajar,Positive
romen rafa,2,gimana ya cara masuk akunnya..?,Negative
Hafizhuddin Al Hazmi,4,kesini gara ghozali,Positive
gajendra abdi,5,Ok,Positive
Eka Rian Andika Railfan,4,Ini NFT yang viral itu ya? Wah bisa dicoba nih.,Positive
yunay ,5,Yg donload ini gara gara liat gozali ayo siapa..,Positive
Erwin Nasir,3,ok,Neutral
angrasptr,5,Gozali wkwk,Positive
Muhkamat Maryam,2,Bikin pening pala berby bolak balik mentok diprofike gak bisa di apa apain hihi hadeuhhh penasaran tp aplikasi udah g bisa diapa apain padahal SDH konek ke metamask tp nyari my collection tidak ada,Negative
Gayatri Official,5,top ’ª‘™’ª‘,Positive
Ays Hilari,5,Good,Positive
hams lee,5,Nice colection,Positive
Riski Hidayat,1,Error perbaiki dong,Negative
Liv ,4,OK,Positive
Moreno Channel,5,Opensea laut terbuka Seperti mimpi ku di dalam laut berenang naik apakah ini???˜Š #ghozalieverydayeffect‘Œ‡®‡©,Positive
Ipin Kijang,5,mantap,Positive
Zora Sang Fajar,5,keren,Positive
Ya begitulah !,5,Ok lah sama ni apk,Positive
Jerry Wijaya,1,Tidak bisa di buka seperti ubah photo dan nama profile...,Negative
Feni Febriani,1,kenapa ga bisa buat akun,Negative
Desi Rezki Amelia,1,Baru instal malah error..errornya krn apa? Apa penyimpanan hp hrs banyak dlu??,Negative
Okta Vitayana,5,Good,Positive
Alvianus Vian,5,Yang download karena Ghozali..˜‚˜‚˜‚,Positive
zulmi adri,1,Ga ngerti cara ny bahasa ny pun ga bisa diganti,Negative
ILHAM RAMADHAN,4,Ke sini gara gara kang ghozali everyday,Positive
Goldy Harrison,5,great app.. i love it,Positive
Zulkifli Karim,5,Bismillah rich rebahan,Positive
Suta Maeenk,5,Soo good,Positive
Cornelis Budiarto,5,Coba coba menyalurkan bakat,Positive
Elmira Qistina,4,mohon di bantu tidak bisa verifikasi email,Positive
sandy yusuf,5,beli lah,Positive
Meth Twelve,1,Please fixed all bugs and errors in this apps it can't connect the wallet while using the smartphone version thanks!,Negative
Muhammad Syaikh Syafiq,5,Ngaku kalian kesini karena Ghozali kan,Positive
Andika Setiawan,4,Kesini gara ghozali everyday,Positive
Achmad Numan,2,ok,Negative
syakieb tv,5,Mudah mudahan sya bisa jadi orang kaya.,Positive
Nonik Bilandri,3,namanya tidak bisa di ganti,Neutral
Andry Tanjung,2,Coba dulu bagus di tambahin lagi bintang nya,Negative
Jayadi -,2,Kok ga bisa konek ya katanya ga ada koneksi padahal pakai wifi. Payah nih versi android,Negative
JN Project,5,The best,Positive
Idrus Alhafidz,4,good,Positive
CV Haneda,5,‘‘,Positive
Jhoni Paslah,5,great nft marketplace ‘€Ž­,Positive
Tegar Abdul S,2,Maintance terlalu lamamembuat rugi semua orang yang mau jual/beli disinimohon ditindak lebih cepat,Negative
H R N Gaming,5,sangat bagus,Positive
Reeliana Jaizell,5,terbaik,Positive
SlothinkDev,3,Why this one have less features than web it even can't minting I hope this app features is expanded like a web feature,Neutral
Juna,4,Nyoba,Positive
ahmad imran husni,4,Please release sign in with coinbase wallet,Positive
risky snowden,4,good,Positive
Lyix Suegar,1,Not worth it for mobile device,Negative
Kicau kampung,4,Coba dulu ah ..,Positive
Buana Dwie Singodiwirjo,5,Nice,Positive
Dhita Syailendra,5,good apk,Positive
Nahman ganteng,5,Bagus,Positive
Semoet Merah,5,good,Positive
Permadi Saputra,5,great,Positive
I Ketut Artana,5,Marketplace yang bagus untuk yang baru mulai di dunia nft,Positive
Wilis Fam,5,good,Positive
andre Farhan,5,bagus untuk jualan NFT,Positive
Dinata ,5,good,Positive
Firmansyah ,1,Pertama dibuka sampai seterusnya error mulu padahal sinyal g kenceng... mohon diperbaiki,Negative
Harianto,1,Namanya terus suka nggak bisa dipakai:(,Negative
Samudra Samudra,1,Percuma ada aplikasi tapi nggak bisa Upload SELL dan BUY lewat aplikasi langsung.,Negative
Chyber ,5,than you,Positive
Fajar Satri,5,Bagus,Positive
Fambudi Jaya Kuswara,5,semoga laku,Positive
Neko Ni Game,4,Masi belum laku tapi gak papa tetap semangat,Positive
Wii,4,Bagus,Positive
Agung Xyz,4,Please release new version..so we can writeand sell nft direct from app.. Ithink its a excellent app..but many update neeeded.,Positive
Jirah Saja,5,apk sangat bagus,Positive
DARMOJO,5,Oke,Positive
Hilda Ate,4,mantaf,Positive
Aminah Minah,5,Good,Positive
Agustinus Patoding,5,how to unhide from app ?,Positive
Sumar irpan Abhari,1,Jelek,Negative
# Ø§Ù„Ø³ÙŽÙ‘Ù„Ø§ÙŽÙ…Ù Ø¹ÙŽÙ„ÙŽÙŠÙ’ÙƒÙÙ…Ù’,1,lu ambil FEE nya terlalu gede banget anying,Negative
agus widayat,3,sering bug,Neutral
asti Rahmadayani,1,Error melulu,Negative
Riana,1,The app verry bad i cant do anything I did't belive opensea the big marketplace get the mobile version like this. Watermelon men!!!,Negative
Dian Nurdiansyah,5,luar biasa,Positive
De Ujank isooku,1,Ga bisa ganti nama dan foto profile ga bisa posting produk jualan...payah ah,Negative
Dicky Raditya,5,good,Positive
Rifki Eka,5,beri aku uang,Positive
dinosaurus gravinci,1,Aku kok tidak bisa buka aplikasinya...,Negative
raditya akbar,5,good,Positive
Agung Yustian,5,good apk,Positive
Alfansyihabsa,5,ok,Positive
ADENCorp Animasi,1,No connecting,Negative
YaN Metaverse,3,harus jaringan kenceng ya.. ?. jaringan low susah konek.,Neutral
Dudu Vloger,5,mudah dan mantap,Positive
Risky Alfienda,2,Open and see,Negative
Ardiles Klimarsen,5,GM,Positive
Dedy Ram,5,OGN Termaksud Coin NFT MARKET PLACE,Positive
Yanss -,5,iu,Positive
Gembell,5,i like this app,Positive
koko think's,5,good,Positive
sugi yanto,5,Laut terbuka,Positive
Iwan Apandi,5,best,Positive
Iyan Al-Jundani,5,ok,Positive
 Febri Kurnia Tarigan,4,up lagi,Positive
Die Ck,5,Ok,Positive
Muhammad Arfin,5,ok,Positive
Robertus Wijanarko,4,How to upload NFTs from smartphone?,Positive
Jack Manalagi,1,Pake web aja lah,Negative
Bela Risma Aulia,4,can't open the app,Positive
wahyu Agustian,1,Aplikasi nya untuk mengetik kok lag tolong diperbaiki,Negative
doedy dukenzfish,5,good,Positive
Fuad Taufiq Rizal,5,good app..,Positive
Kurnia Ar,5,Kereeeeeennnnnnnnnnnnnnn bat dah nih app.,Positive
"Gilang Wijanarko,1,""An error occured and we're currently working on it"" how to fix?,Negative"
Didi Rosadi,5,coba dulu mudah mudahan apk jadi berguna bagi saya,Positive
Ade Irawan,5,Good,Positive
Pe Thu,5,Bagus,Positive
Putri ,5,‘Œ,Positive
Herjana Satya,5,nice app,Positive
Muhammad Hadiyana,5,good art and open mainded for people,Positive
Syamsul Rizal,3,ntar kalo udah dapet hasil bintangnya ditambah,Neutral
Khoirudin Anwar,1,Bingung cara minting nft di aplikasi ini hanya bisa mantau doang mending pake DApps wallet aja,Negative
sugeng widodo,1,there are no features to sell or sell.. you have to go to the website.. why don't you make an application it's not complete boss,Negative
Alqorni Hamsyah,4,bentar dulu ngab klo jualan w laku w kasih rate lagi dah,Positive
Bangkit AB,5,semoga jadi sumber penghasilan,Positive
"Falakxa,1,""An error occurred and we're currently working on it"" please fix it,Negative"
Mami minta Tambah,1,Apk tidak bisa tersambung Jangan jadi pajangan saja ayo Kami sudah mendownloadnya tapi tak bisa digunakan,Negative
Dewa Luckybigwin,5,ok,Positive
Ogan Lake,1,Aplikasinya tidak bisa di buka walau internet lancar buka aplikasi lain bisa. Kalau pakai web bisa. Sebelum di minta update lancar tetapi setelah di update buiannya tambah bagus malah tidak bisa di buka. Bagaimana ini?,Negative
YOJI S,5,Pretty good ‘‘™‚,Positive
sabar silalahi,5,Nice,Positive
rezseptian,5,nice,Positive
nrohman,3,di aplikasi suruh updateeh dipencet update di PlayStore tidak ada update! Tolong di Fix,Neutral
Kaka H. Hendrayana,5,Mantap. sup nft space! LFG š€,Positive
Muhammad Fajar Adrianza,5,it's awesome!!! finaly i found this apps,Positive
Jovan Yudistira,5,Good ˜‘Œ,Positive
